acquéreur,/akeʁœʁ/,acquérir,/akeʁiʁ/
agent,/aʒɑ̃/,agit,/aʒi/
ainsi,/ɛ̃si/,ici,/isi/
aisé,/ɛze/,osé,/oze/
ait,/ɛ/,a,/a/
ait,/ɛ/,e,/ə/
ait,/ɛ/,et,/e/
ait,/ɛ/,i,/i/
ait,/ɛ/,o,/o/
ait,/ɛ/,on,/ɔ̃/
ait,/ɛ/,ou,/u/
ait,/ɛ/,u,/y/
ait,/ɛ/,un,/œ̃/
allait,/alɛ/,aller,/ale/
allant,/alɑ̃/,allait,/alɛ/
allons,/alɔ̃/,allait,/alɛ/
allons,/alɔ̃/,allant,/alɑ̃/
allure,/alyʁ/,alors,/alɔʁ/
ambitieux,/ɑ̃bisjø/,ambition,/ɑ̃bisjɔ̃/
art,/aʁ/,or,/ɔʁ/
art,/aʁ/,r,/ɛʁ/
aura,/oʁa/,ira,/iʁa/
aussi,/osi/,ainsi,/ɛ̃si/
aussi,/osi/,assis,/asi/
autour,/otuʁ/,auteur,/otœʁ/
avait,/avɛ/,avez,/ave/
avant,/avɑ̃/,avait,/avɛ/
avant,/avɑ̃/,avez,/ave/
avis,/avi/,avez,/ave/
avons,/avɔ̃/,avait,/avɛ/
avons,/avɔ̃/,avant,/avɑ̃/
avons,/avɔ̃/,avez,/ave/
avoue,/avu/,avait,/avɛ/
avoue,/avu/,avant,/avɑ̃/
avoue,/avu/,avez,/ave/
axe,/aks/,x,/iks/
axé,/akse/,axa,/aksa/
bain,/bɛ̃/,b,/be/
bain,/bɛ̃/,bas,/ba/
bain,/bɛ̃/,bon,/bɔ̃/
bain,/bɛ̃/,by,/bi/
bas,/ba/,b,/be/
bas,/ba/,by,/bi/
basse,/bas/,bus,/bys/
beau,/bo/,b,/be/
beau,/bo/,bain,/bɛ̃/
beau,/bo/,bas,/ba/
beau,/bo/,bon,/bɔ̃/
beau,/bo/,by,/bi/
belle,/bɛl/,balle,/bal/
beurre,/bœʁ/,bar,/baʁ/
beurre,/bœʁ/,bord,/bɔʁ/
biais,/bjɛ/,bien,/bjɛ̃/
blanc,/blɑ̃/,bleu,/blø/
bombe,/bɔ̃b/,bob,/bɔb/
bon,/bɔ̃/,b,/be/
bon,/bɔ̃/,bas,/ba/
bon,/bɔ̃/,by,/bi/
bonne,/bɔn/,ben,/bɛn/
bord,/bɔʁ/,bar,/baʁ/
boule,/bul/,balle,/bal/
boule,/bul/,belle,/bɛl/
bout,/bu/,b,/be/
bout,/bu/,bain,/bɛ̃/
bout,/bu/,bas,/ba/
bout,/bu/,beau,/bo/
bout,/bu/,bon,/bɔ̃/
bout,/bu/,by,/bi/
bouton,/butɔ̃/,béton,/betɔ̃/
brin,/bʁɛ̃/,bras,/bʁa/
brun,/bʁœ̃/,bras,/bʁa/
brun,/bʁœ̃/,brin,/bʁɛ̃/
but,/byt/,bit,/bit/
by,/bi/,b,/be/
cachet,/kaʃɛ/,cacher,/kaʃe/
camp,/kɑ̃/,q,/ky/
camp,/kɑ̃/,que,/kə/
camp,/kɑ̃/,qui,/ki/
capot,/kapo/,campo,/kɑ̃po/
ce,/sə/,c,/se/
cent,/sɑ̃/,c,/se/
cent,/sɑ̃/,ce,/sə/
cent,/sɑ̃/,sa,/sa/
cent,/sɑ̃/,si,/si/
cent,/sɑ̃/,son,/sɔ̃/
cent,/sɑ̃/,su,/sy/
cesse,/sɛs/,sens,/sɑ̃s/
cesser,/sɛse/,censé,/sɑ̃se/
ceux,/sø/,c,/se/
ceux,/sø/,ce,/sə/
ceux,/sø/,cent,/sɑ̃/
ceux,/sø/,sa,/sa/
ceux,/sø/,si,/si/
ceux,/sø/,son,/sɔ̃/
ceux,/sø/,su,/sy/
champ,/ʃɑ̃/,chat,/ʃa/
champ,/ʃɑ̃/,chez,/ʃe/
chaque,/ʃak/,choc,/ʃɔk/
chaud,/ʃo/,champ,/ʃɑ̃/
chaud,/ʃo/,chat,/ʃa/
cheveux,/ʃəvø/,chevaux,/ʃəvo/
chez,/ʃe/,chat,/ʃa/
choc,/ʃɔk/,chic,/ʃik/
cinq,/sɛ̃k/,sac,/sak/
cinq,/sɛ̃k/,sec,/sɛk/
clan,/klɑ̃/,clé,/kle/
clos,/klo/,clan,/klɑ̃/
clos,/klo/,clé,/kle/
colis,/kɔli/,colin,/kɔlɛ̃/
colle,/kɔl/,quel,/kɛl/
comment,/kɔmɑ̃/,commun,/kɔmœ̃/
commun,/kɔmœ̃/,commis,/kɔmi/
comptait,/kɔ̃tɛ/,cotait,/kɔtɛ/
compter,/kɔ̃te/,coté,/kɔte/
conte,/kɔ̃t/,cote,/kɔt/
conteneurs,/kɔ̃tnœʁ/,contenir,/kɔ̃tniʁ/
corée,/kɔʁe/,carré,/kaʁe/
cotait,/kɔtɛ/,coté,/kɔte/
coup,/ku/,camp,/kɑ̃/
coup,/ku/,q,/ky/
coup,/ku/,que,/kə/
coup,/ku/,qui,/ki/
coupe,/kup/,cap,/kap/
coureurs,/kuʁœʁ/,courir,/kuʁiʁ/
court,/kuʁ/,cœur,/kœʁ/
craint,/kʁɛ̃/,cran,/kʁɑ̃/
craint,/kʁɛ̃/,creux,/kʁø/
craint,/kʁɛ̃/,cru,/kʁy/
craint,/kʁɛ̃/,crée,/kʁe/
cran,/kʁɑ̃/,cri,/kʁi/
cran,/kʁɑ̃/,cru,/kʁy/
creux,/kʁø/,cran,/kʁɑ̃/
creux,/kʁø/,cri,/kʁi/
creux,/kʁø/,cru,/kʁy/
creux,/kʁø/,crée,/kʁe/
cru,/kʁy/,cri,/kʁi/
crée,/kʁe/,cran,/kʁɑ̃/
crée,/kʁe/,cri,/kʁi/
crée,/kʁe/,cru,/kʁy/
cuit,/kɥi/,cri,/kʁi/
cure,/kyʁ/,car,/kaʁ/
cure,/kyʁ/,cœur,/kœʁ/
cœur,/kœʁ/,car,/kaʁ/
de,/də/,d,/de/
dent,/dɑ̃/,d,/de/
dent,/dɑ̃/,de,/də/
dent,/dɑ̃/,die,/di/
dent,/dɑ̃/,don,/dɔ̃/
dent,/dɑ̃/,dos,/do/
dent,/dɑ̃/,du,/dy/
deux,/dø/,d,/de/
deux,/dø/,de,/də/
deux,/dø/,dent,/dɑ̃/
deux,/dø/,die,/di/
deux,/dø/,don,/dɔ̃/
deux,/dø/,dos,/do/
deux,/dø/,du,/dy/
die,/di/,d,/de/
die,/di/,de,/də/
die,/di/,du,/dy/
dire,/diʁ/,der,/dɛʁ/
dite,/dit/,date,/dat/
don,/dɔ̃/,d,/de/
don,/dɔ̃/,de,/də/
don,/dɔ̃/,die,/di/
don,/dɔ̃/,du,/dy/
dos,/do/,d,/de/
dos,/do/,de,/də/
dos,/do/,die,/di/
dos,/do/,don,/dɔ̃/
dos,/do/,du,/dy/
douce,/dus/,danse,/dɑ̃s/
doute,/dut/,dette,/dɛt/
douter,/dute/,doter,/dɔte/
douteux,/dutø/,douter,/dute/
doux,/du/,d,/de/
doux,/du/,de,/də/
doux,/du/,dent,/dɑ̃/
doux,/du/,deux,/dø/
doux,/du/,die,/di/
doux,/du/,don,/dɔ̃/
doux,/du/,dos,/do/
doux,/du/,du,/dy/
du,/dy/,d,/de/
du,/dy/,de,/də/
dur,/dyʁ/,der,/dɛʁ/
durer,/dyʁe/,doré,/dɔʁe/
défunt,/defœ̃/,défaut,/defo/
défunt,/defœ̃/,défend,/defɑ̃/
défunt,/defœ̃/,défi,/defi/
e,/ə/,a,/a/
enfin,/ɑ̃fɛ̃/,afin,/afɛ̃/
entre,/ɑ̃tʁ/,autre,/otʁ/
envie,/ɑ̃vi/,avis,/avi/
et,/e/,a,/a/
et,/e/,e,/ə/
et,/e/,i,/i/
et,/e/,o,/o/
et,/e/,u,/y/
eux,/ø/,a,/a/
eux,/ø/,ait,/ɛ/
eux,/ø/,e,/ə/
eux,/ø/,et,/e/
eux,/ø/,i,/i/
eux,/ø/,o,/o/
eux,/ø/,on,/ɔ̃/
eux,/ø/,ou,/u/
eux,/ø/,u,/y/
eux,/ø/,un,/œ̃/
facture,/faktyʁ/,facteur,/faktœʁ/
faire,/fɛʁ/,fort,/fɔʁ/
fait,/fɛ/,feu,/fø/
fait,/fɛ/,fin,/fɛ̃/
fait,/fɛ/,fou,/fu/
fait,/fɛ/,fut,/fy/
faute,/fot/,faite,/fɛt/
faux,/fo/,fait,/fɛ/
faux,/fo/,feu,/fø/
faux,/fo/,fin,/fɛ̃/
faux,/fo/,fou,/fu/
faux,/fo/,fut,/fy/
feuille,/fœj/,faille,/faj/
feuille,/fœj/,fille,/fij/
fin,/fɛ̃/,feu,/fø/
flou,/flu/,flot,/flo/
flux,/fly/,flot,/flo/
flux,/fly/,flou,/flu/
folle,/fɔl/,file,/fil/
fond,/fɔ̃/,fait,/fɛ/
fond,/fɔ̃/,faux,/fo/
fond,/fɔ̃/,feu,/fø/
fond,/fɔ̃/,fin,/fɛ̃/
fond,/fɔ̃/,fou,/fu/
fond,/fɔ̃/,fut,/fy/
forme,/fɔʁm/,ferme,/fɛʁm/
forme,/fɔʁm/,firme,/fiʁm/
fort,/fɔʁ/,fur,/fyʁ/
fou,/fu/,feu,/fø/
fou,/fu/,fin,/fɛ̃/
foule,/ful/,folle,/fɔl/
four,/fuʁ/,fort,/fɔʁ/
four,/fuʁ/,fur,/fyʁ/
franc,/fʁɑ̃/,frais,/fʁɛ/
frein,/fʁɛ̃/,frais,/fʁɛ/
frein,/fʁɛ̃/,franc,/fʁɑ̃/
front,/fʁɔ̃/,frais,/fʁɛ/
front,/fʁɔ̃/,franc,/fʁɑ̃/
front,/fʁɔ̃/,frein,/fʁɛ̃/
fut,/fy/,feu,/fø/
fut,/fy/,fin,/fɛ̃/
fut,/fy/,fou,/fu/
genre,/ʒɑ̃ʁ/,jour,/ʒuʁ/
grain,/ɡʁɛ̃/,gris,/ɡʁi/
grain,/ɡʁɛ̃/,gros,/ɡʁo/
grain,/ɡʁɛ̃/,gré,/ɡʁe/
grand,/ɡʁɑ̃/,grain,/ɡʁɛ̃/
grand,/ɡʁɑ̃/,gros,/ɡʁo/
grand,/ɡʁɑ̃/,gré,/ɡʁe/
grandeur,/ɡʁɑ̃dœʁ/,grandir,/ɡʁɑ̃diʁ/
gras,/ɡʁa/,gré,/ɡʁe/
gros,/ɡʁo/,gras,/ɡʁa/
gros,/ɡʁo/,gris,/ɡʁi/
gros,/ɡʁo/,gré,/ɡʁe/
groupe,/ɡʁup/,grimpe,/ɡʁɛ̃p/
généreux,/ʒeneʁø/,généraux,/ʒeneʁo/
havas,/ava/,avons,/avɔ̃/
heure,/œʁ/,art,/aʁ/
heure,/œʁ/,or,/ɔʁ/
heure,/œʁ/,r,/ɛʁ/
héros,/eʁo/,euro,/øʁo/
i,/i/,a,/a/
i,/i/,e,/ə/
il,/il/,l,/ɛl/
inde,/ɛ̃d/,aide,/ɛd/
invite,/ɛ̃vit/,évite,/evit/
j,/ʒi/,g,/ʒe/
jan,/ʒɑ̃/,g,/ʒe/
jan,/ʒɑ̃/,j,/ʒi/
jan,/ʒɑ̃/,je,/ʒə/
je,/ʒə/,g,/ʒe/
je,/ʒə/,j,/ʒi/
jeanne,/ʒan/,jeune,/ʒœn/
jet,/ʒɛ/,g,/ʒe/
jet,/ʒɛ/,j,/ʒi/
jet,/ʒɛ/,jan,/ʒɑ̃/
jet,/ʒɛ/,je,/ʒə/
jeu,/ʒø/,g,/ʒe/
jeu,/ʒø/,j,/ʒi/
jeu,/ʒø/,jan,/ʒɑ̃/
jeu,/ʒø/,je,/ʒə/
jeu,/ʒø/,jet,/ʒɛ/
jeudi,/ʒødi/,jadis,/ʒadi/
jeune,/ʒœn/,jaune,/ʒon/
joue,/ʒu/,g,/ʒe/
joue,/ʒu/,j,/ʒi/
joue,/ʒu/,jan,/ʒɑ̃/
joue,/ʒu/,je,/ʒə/
joue,/ʒu/,jet,/ʒɛ/
joue,/ʒu/,jeu,/ʒø/
joue,/ʒu/,jus,/ʒy/
jouet,/ʒwɛ/,joint,/ʒwɛ̃/
julie,/ʒyli/,joli,/ʒɔli/
jus,/ʒy/,g,/ʒe/
jus,/ʒy/,j,/ʒi/
jus,/ʒy/,jan,/ʒɑ̃/
jus,/ʒy/,je,/ʒə/
jus,/ʒy/,jet,/ʒɛ/
jus,/ʒy/,jeu,/ʒø/
klein,/klɛ̃/,clan,/klɑ̃/
klein,/klɛ̃/,clos,/klo/
klein,/klɛ̃/,clé,/kle/
lait,/lɛ/,la,/la/
lait,/lɛ/,le,/lə/
lait,/lɛ/,lin,/lɛ̃/
lait,/lɛ/,lit,/li/
lait,/lɛ/,lot,/lo/
lait,/lɛ/,lu,/ly/
laquelle,/lakɛl/,lequel,/ləkɛl/
le,/lə/,la,/la/
lecture,/lɛktyʁ/,lecteur,/lɛktœʁ/
lent,/lɑ̃/,la,/la/
lent,/lɑ̃/,lait,/lɛ/
lent,/lɑ̃/,le,/lə/
lent,/lɑ̃/,lin,/lɛ̃/
lent,/lɑ̃/,lit,/li/
lent,/lɑ̃/,lot,/lo/
lent,/lɑ̃/,lu,/ly/
lesquels,/lekɛl/,lequel,/ləkɛl/
lever,/ləve/,laver,/lave/
lien,/ljɛ̃/,lié,/lje/
lieu,/ljø/,lien,/ljɛ̃/
lieu,/ljø/,lié,/lje/
lin,/lɛ̃/,la,/la/
lin,/lɛ̃/,le,/lə/
lin,/lɛ̃/,lu,/ly/
lion,/ljɔ̃/,lien,/ljɛ̃/
lion,/ljɔ̃/,lieu,/ljø/
lion,/ljɔ̃/,lié,/lje/
