blanc,/blɑ̃/,plan,/plɑ̃/
p,/pe/,b,/be/
pain,/pɛ̃/,bain,/bɛ̃/
par,/paʁ/,bar,/baʁ/
pas,/pa/,bas,/ba/
peau,/po/,beau,/bo/
pis,/pi/,by,/bi/
pont,/pɔ̃/,bon,/bɔ̃/
port,/pɔʁ/,bord,/bɔʁ/
puce,/pys/,bus,/bys/
pont,/pɔ̃/,ton,/tɔ̃/
prix,/pʁi/,tri,/tʁi/
t,/te/,p,/pe/
tard,/taʁ/,par,/paʁ/
taux,/to/,peau,/po/
tire,/tiʁ/,pire,/piʁ/
tort,/tɔʁ/,port,/pɔʁ/
tour,/tuʁ/,pour,/puʁ/
trop,/tʁo/,pro,/pʁo/
tu,/ty/,pu,/py/
deux,/dø/,peu,/pø/
p,/pe/,d,/de/
pair,/pɛʁ/,der,/dɛʁ/
peau,/po/,dos,/do/
pire,/piʁ/,dire,/diʁ/
pis,/pi/,die,/di/
pont,/pɔ̃/,don,/dɔ̃/
pose,/poz/,dose,/doz/
pu,/py/,du,/dy/
pure,/pyʁ/,dur,/dyʁ/
pape,/pap/,cap,/kap/
par,/paʁ/,car,/kaʁ/
peur,/pœʁ/,cœur,/kœʁ/
plan,/plɑ̃/,clan,/klɑ̃/
prix,/pʁi/,cri,/kʁi/
pu,/py/,q,/ky/
puis,/pɥi/,cuit,/kɥi/
pure,/pyʁ/,cure,/kyʁ/
quai,/kɛ/,paix,/pɛ/
qui,/ki/,pis,/pi/
gare,/ɡaʁ/,par,/paʁ/
gros,/ɡʁo/,pro,/pʁo/
guerre,/ɡɛʁ/,pair,/pɛʁ/
langue,/lɑ̃ɡ/,lampes,/lɑ̃p/
page,/paʒ/,gage,/ɡaʒ/
pain,/pɛ̃/,gain,/ɡɛ̃/
place,/plas/,glace,/ɡlas/
prend,/pʁɑ̃/,grand,/ɡʁɑ̃/
prise,/pʁiz/,grise,/ɡʁiz/
prix,/pʁi/,gris,/ɡʁi/
marc,/maʁ/,par,/paʁ/
pain,/pɛ̃/,main,/mɛ̃/
pair,/pɛʁ/,mer,/mɛʁ/
paix,/pɛ/,mai,/mɛ/
pari,/paʁi/,mari,/maʁi/
pas,/pa/,ma,/ma/
peau,/po/,mot,/mo/
pis,/pi/,mis,/mi/
pont,/pɔ̃/,mon,/mɔ̃/
port,/pɔʁ/,mort,/mɔʁ/
nez,/ne/,p,/pe/
panne,/pan/,pape,/pap/
peau,/po/,nos,/no/
pied,/pje/,nier,/nje/
pis,/pi/,ni,/ni/
pomme,/pɔm/,nomme,/nɔm/
pont,/pɔ̃/,non,/nɔ̃/
port,/pɔʁ/,nord,/nɔʁ/
pu,/py/,nu,/ny/
puis,/pɥi/,nuit,/nɥi/
